"Vuosi";"Maa";"T&K-menojen osuus BKT:sta"
1981;"Itävalta";0,0108998446539469
1982;"Itävalta";0,0113556683151004
1983;"Itävalta";0,0114474248320651
1984;"Itävalta";0,011948537641831
1985;"Itävalta";0,0119686282764169
1986;"Itävalta";0,0123623141956436
1987;"Itävalta";0,0124378836166898
1988;"Itävalta";0,0128386479536483
1989;"Itävalta";0,0130415193232277
1990;"Itävalta";0,0135049262497982
1991;"Itävalta";0,0142731437094813
1992;"Itävalta";0,0141444162272791
1993;"Itävalta";0,0143126594165034
1994;"Itävalta";0,0150971321529818
1995;"Itävalta";0,0152975432983926
1996;"Itävalta";0,0158076919537147
1997;"Itävalta";0,0165491086019058
1998;"Itävalta";0,0173154759330961
1999;"Itävalta";0,0184537125182573
2000;"Itävalta";0,0188602424420832
2001;"Itävalta";0,0199210448081461
2002;"Itävalta";0,0206598383788809
2003;"Itävalta";0,0217455641590277
2004;"Itävalta";0,0216611664552492
2005;"Itävalta";0,0237323990476357
2006;"Itävalta";0,0235922709819809
2007;"Itävalta";0,0241843231712657
2008;"Itävalta";0,025694481629698
2009;"Itävalta";0,0259673677655242
2010;"Itävalta";0,0272610057349756
2011;"Itävalta";0,0266867789645755
2012;"Itävalta";0,0291471878002482
2013;"Itävalta";0,0295491836935052
2014;"Itävalta";0,0308428672143724
2015;"Itävalta";0,0304969049949657
2016;"Itävalta";0,0311923566912495
2017;"Itävalta";0,030488549734176
2018;"Itävalta";0,0313971094594583
2019;"Itävalta";0,0318267906310176
1983;"Belgia";0,0149645052720352
1984;"Belgia";0,0150835664840746
1985;"Belgia";0,015585157442497
1986;"Belgia";0,0156164812639193
1987;"Belgia";0,0157395403487419
1988;"Belgia";0,0152931376665707
1989;"Belgia";0,0158304114806976
1991;"Belgia";0,0155895443854328
1993;"Belgia";0,0163679843977686
1994;"Belgia";0,0162722728413134
1995;"Belgia";0,0164728531311123
1996;"Belgia";0,0174298579592519
1997;"Belgia";0,0180971431132768
1998;"Belgia";0,0183825100209007
1999;"Belgia";0,0190564580566189
2000;"Belgia";0,0193619516589671
2001;"Belgia";0,020327916505539
2002;"Belgia";0,0190324791270747
2003;"Belgia";0,0184119500416429
2004;"Belgia";0,0182050497301897
2005;"Belgia";0,0179060640173966
2006;"Belgia";0,0182269277552156
2007;"Belgia";0,0184999463067951
2008;"Belgia";0,0193683938647268
2009;"Belgia";0,0199859844697766
2010;"Belgia";0,0206187639426216
2011;"Belgia";0,0217332441767619
2012;"Belgia";0,0228114063401875
2013;"Belgia";0,02330725157809
2014;"Belgia";0,0237001632492836
2015;"Belgia";0,0242816558811658
2016;"Belgia";0,0252252196552039
2017;"Belgia";0,0266124125083024
2018;"Belgia";0,0267842472639531
1981;"Tanska";0,0101374738923294
1982;"Tanska";0,0105140412422376
1983;"Tanska";0,0109935775599232
1984;"Tanska";0,0112655937970334
1985;"Tanska";0,0115851180712023
1986;"Tanska";0,0123666017906289
1987;"Tanska";0,0132718268801577
1988;"Tanska";0,014029805696756
1989;"Tanska";0,0144718382165898
1990;"Tanska";0,0151901015080403
